Date : 2024-02-05 15:48:01
Directory : d:\Work\Arcelik\Projects\ArcelikAI
Total : 137 files,  17317 codes, 428 comments, 983 blanks, all 18728 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         13 |     10,136 |          0 |          8 |     10,144 |
| C#                 |         34 |      2,998 |        119 |        565 |      3,682 |
| JavaScript JSX     |         41 |      2,246 |        104 |        219 |      2,569 |
| CSS                |         23 |      1,273 |         81 |        127 |      1,481 |
| JavaScript         |         11 |        482 |        124 |         52 |        658 |
| XML                |         11 |        139 |          0 |          7 |        146 |
| Properties         |          1 |         19 |          0 |          1 |         20 |
| HTML               |          1 |         13 |          0 |          0 |         13 |
| JSON with Comments |          1 |          6 |          0 |          0 |          6 |
| Markdown           |          1 |          5 |          0 |          4 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        137 |     17,317 |        428 |        983 |     18,728 |
| . (Files)                                                                                                                                       |          6 |      4,852 |          1 |          9 |      4,862 |
| ArcelikWebApi                                                                                                                                   |         53 |      8,456 |        119 |        577 |      9,152 |
| ArcelikWebApi\ArcelikWebApi                                                                                                                     |         53 |      8,456 |        119 |        577 |      9,152 |
| ArcelikWebApi\ArcelikWebApi (Files)                                                                                                             |          4 |        118 |          3 |         27 |        148 |
| ArcelikWebApi\ArcelikWebApi\Controllers                                                                                                         |          6 |        439 |         39 |        118 |        596 |
| ArcelikWebApi\ArcelikWebApi\Data                                                                                                                |          1 |        155 |         25 |         32 |        212 |
| ArcelikWebApi\ArcelikWebApi\Middlewares                                                                                                         |          1 |        120 |          2 |         19 |        141 |
| ArcelikWebApi\ArcelikWebApi\Migrations                                                                                                          |          3 |      1,933 |          6 |        240 |      2,179 |
| ArcelikWebApi\ArcelikWebApi\Models                                                                                                              |         16 |        233 |          6 |        108 |        347 |
| ArcelikWebApi\ArcelikWebApi\Models (Files)                                                                                                      |          9 |        124 |          2 |         58 |        184 |
| ArcelikWebApi\ArcelikWebApi\Models\Quiz                                                                                                         |          7 |        109 |          4 |         50 |        163 |
| ArcelikWebApi\ArcelikWebApi\Properties                                                                                                          |          1 |         41 |          0 |          0 |         41 |
| ArcelikWebApi\ArcelikWebApi\Services                                                                                                            |          2 |         33 |         16 |         16 |         65 |
| ArcelikWebApi\ArcelikWebApi\bin                                                                                                                 |          4 |      1,317 |          0 |          3 |      1,320 |
| ArcelikWebApi\ArcelikWebApi\bin\Debug                                                                                                           |          4 |      1,317 |          0 |          3 |      1,320 |
| ArcelikWebApi\ArcelikWebApi\bin\Debug\net7.0                                                                                                    |          4 |      1,317 |          0 |          3 |      1,320 |
| ArcelikWebApi\ArcelikWebApi\obj                                                                                                                 |         15 |      4,067 |         22 |         14 |      4,103 |
| ArcelikWebApi\ArcelikWebApi\obj (Files)                                                                                                         |          5 |      3,995 |          0 |          1 |      3,996 |
